cnpj do cliente	Fantasia	Data da liberação
00.511.958/0001-47	FREE WORK	30/09/2024
00.950.490/0001-97	GATELLI	16/04/2024
04.660.800/0001-90	PONTO DAS MAQUINAS	27/03/2024
05.402.619/0001-46	QUICK 	09/04/2024
05.600.139/0002-70	CHICO	18/06/2026
10.013.982/0001-00	CLAUDIO	11/10/2018
11.344.883/0001-73	BREMM	07/03/2016
12.361.139/0001-40	POLO SUL CALCADOS	10/02/2020
17.828.103/0001-47	LIDER RECURSOS	23/03/2023
18.615.049/0001-14	FOX SEGURANÇA	07/08/2024
22.315.347/0001-66	FARMACIA GEHLEN	01/09/2020
23.276.933/0001-01	ATACADAO DAS CARNES	05/11/2018
23.596.957/0001-48	GPR	27/03/2024
26.381.874/0001-20	MERCADO CERRO LARGO	01/09/2021
32.289.012/0001-74	FRUTEIRA DA ROTULA	08/06/2020
37.088.720/0001-60	ATACADO RODRIGO	01/06/2023
53.120.082/0001-74	BOX CENTER	09/04/2024
54.694.964/0001-06	JC EQUIPAMENTOS	
91.444.315/0001-83	JOSE TEODORO DE OLIV	15/05/2013
